Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Paleo Fruitcake recipes,american,85.97,271.68,207.57,10/16/2022,17:20:29,0.31643729226556144,1.3088533562010107
paleo,Best Paleo Chili,american,193.11,83.93,227.24,10/16/2022,17:20:36,2.30081852950638,0.3693435603610264
paleo,Perfect Paleo Pizza,italian,123.47,75.65,235.87,10/16/2022,17:20:36,1.632100038333928,0.3207261596381073
paleo,Grain-Free Cauliflower Fried Rice recipes,chinese,37.54,56.92,53.88,10/16/2022,17:20:36,0.6595105497092462,1.0564020712310462
paleo,Paleo Chocolate Frosting recipes,american,7.27,112.19,269.91,10/16/2022,17:20:36,0.06480020679020598,0.4156555308972217
paleo,Paleo Eggplant Lasagna,italian,172.17,186.26,467.17,10/16/2022,17:20:36,0.9243480921932127,0.3986976931359181
paleo,Paleo Pecan Tart Crust,american,20.15,24.96,111.99,10/16/2022,17:20:36,0.8072593245462921,0.22287505245957265
paleo,Paleo Shepherd’s Pie,american,189.35,143.25,300.66,10/16/2022,17:20:36,1.3218057814605133,0.47645022134563514
paleo,Paleo Pie Crust recipes,american,56.39,43.01,143.87,10/16/2022,17:20:36,1.311059961405222,0.29894836346449244
paleo,Paleo Mug Cake recipes,british,10.48,19.56,12.5,10/16/2022,17:20:36,0.5357599304739021,1.564674826013919
paleo,Paleo Flourless Chocolate Cake,american,83.82,384.27,324.34,10/16/2022,17:20:36,0.2181273111944435,1.1847715829944412
paleo,Mini Paleo Egg Bites,american,118.36,6.54,61.57,10/16/2022,17:20:36,18.09509249350252,0.10621883679004726
paleo,Egg-Free Paleo Macaroons,french,9.91,99.09,110.51,10/16/2022,17:20:36,0.10000908256047471,0.8966528218910335
paleo,Paleo Raw Chocolate Bites,american,46.07,261.6,147.5,10/16/2022,17:20:36,0.17610788949583525,1.7735472979844205
paleo,Paleo Mushroom Soup recipes,french,60.19,112.58,52.61,10/16/2022,17:20:43,0.5346372833781899,2.13985668396343
paleo,Paleo Birthday Cake recipes,american,68.21,199.96,161.13,10/16/2022,17:20:43,0.3411165177209555,1.2409778379082859
paleo,Paleo Avocado Tuna Salad,mexican,32.45,24.27,31.05,10/16/2022,17:20:43,1.3369865271311443,0.7816173392161282
paleo,Paleo Honey Cake recipes,eastern europe,90.83,258.46,261.91,10/16/2022,17:20:43,0.3514263273762773,0.9868237683793348
paleo,Paleo Pumpkin Bars recipes,american,49.0,412.09,116.03,10/16/2022,17:20:43,0.11890577566605436,3.5515508786444996
paleo,Perfect Paleo Baked Salmon,nordic,161.95,1.17,160.83,10/16/2022,17:20:43,138.3005977796755,0.007274716938898594
paleo,Chocolate Mousse (Paleo! Keto!),french,20.23,126.01,153.36,10/16/2022,17:20:43,0.16054154002428359,0.8216560924876598
paleo,Crab + Avocado Temaki recipes,caribbean,88.79,32.66,55.58,10/16/2022,17:20:50,2.718532806711369,0.5876108742196074
paleo,Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,american,9.65,42.63,83.92,10/16/2022,17:20:50,0.22636109873097043,0.5079777409706748
paleo,Paleo Prosciutto Egg Cups,italian,80.95,6.34,113.98,10/16/2022,17:20:50,12.76612521684277,0.05562330563865907
paleo,Paleo Chicken Adobo recipes,mediterranean,123.17,61.52,107.7,10/16/2022,17:20:50,2.002080590367517,0.5712110379662213
paleo,Cranberry Apple Stuffing,american,47.89,285.93,93.75,10/16/2022,17:20:50,0.16748796038205022,3.049887467867009
paleo,Paleo Dirty Rice recipes,caribbean,26.68,80.75,35.37,10/16/2022,17:20:50,0.3303983851593169,2.2829436544061523
paleo,Slow-Cooker Paleo Meatballs,eastern europe,145.6,102.25,144.33,10/16/2022,17:20:50,1.4239469540640188,0.7084410140579639
paleo,Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes,italian,100.74,92.07,360.57,10/16/2022,17:20:50,1.094155597310771,0.2553449944671091
paleo,Paleo Pork Chili Verde,american,107.7,68.02,28.69,10/16/2022,17:20:50,1.5833345584451861,2.3707782928444456
paleo,Paleo Steak and Egg Salad,american,65.19,17.09,69.97,10/16/2022,17:20:50,3.81428822187116,0.24424404396106958
paleo,Easy Paleo Beef with Broccoli,mediterranean,102.5,38.41,98.85,10/16/2022,17:20:50,2.6685064174325066,0.3885646073383172
paleo,Paleo Party Pork Carnitas,mexican,268.92,128.88,334.28,10/16/2022,17:20:50,2.086575988702757,0.3855438986960073
paleo,Paleo Pecan Tart Crust recipes,american,21.03,25.01,112.66,10/16/2022,17:20:50,0.8408300347846946,0.22199341386992838
paleo,Paleo Shepherd's Pie recipes,american,189.35,143.25,300.66,10/16/2022,17:20:50,1.3218057814605133,0.47645022134563514
paleo,Paleo Vanilla Birthday Cake recipes,french,71.11,159.31,147.25,10/16/2022,17:20:56,0.44635963618331437,1.0818941806846811
paleo,Egg-Free Paleo Macaroons recipes,french,10.16,105.7,110.51,10/16/2022,17:20:56,0.09612018807769084,0.9564658721756205
paleo,Paleo Raw Chocolate Bites recipes,american,46.07,261.6,147.5,10/16/2022,17:20:56,0.17610788949583525,1.7735472979844205
paleo,Perfect Paleo Pie Crust recipes,american,43.97,104.37,160.83,10/16/2022,17:20:56,0.42128560615496635,0.6489420571904669
paleo,Practical Paleo: Mint Chip Truffles,american,3.76,23.94,80.65,10/16/2022,17:20:56,0.15705275468860946,0.29683450918153526
paleo,Cindy's Paleo Harvest Chili,american,210.45,139.56,272.52,10/16/2022,17:20:56,1.507942763379454,0.5121073238392638
paleo,Instant Pot Paleo Pork Tenderloin,french,362.76,16.83,64.04,10/16/2022,17:20:56,21.553086566454756,0.26280039349791534
paleo,Paleo Pecan-Crusted Chicken | everydaypaleo.com,american,258.66,55.59,103.91,10/16/2022,17:20:56,4.652911442499685,0.5349770476657909
paleo,Entertain Meatloaf Style,american,197.94,70.1,110.07,10/16/2022,17:20:56,2.8236401763170282,0.6368616620181519
paleo,Semi-Homemade Paleo Spaghetti And Meatballs,italian,128.54,366.81,166.72,10/16/2022,17:20:56,0.3504256960669118,2.200142753462371
paleo,Easy Paleo Herb Gravy recipes,french,23.56,39.05,42.25,10/16/2022,17:21:04,0.6033136155284116,0.9242384795626138
paleo,Homemade Mayo (Paleo and Whole30 Friendly!),italian,2.81,1.11,112.61,10/16/2022,17:21:04,2.5292529252925293,0.009856941151397288
paleo,Paleo and Vegan Pesto stuffed mushrooms,american,10.73,15.5,49.29,10/16/2022,17:21:04,0.6922134055867364,0.3144590290316691
paleo,Paleo Un-Stuffed Cabbage Soup,italian,141.27,55.82,198.73,10/16/2022,17:21:04,2.5307679905411944,0.280882197543413
paleo,Sweet Potato Chili (Paleo-Friendly!),american,98.56,191.3,176.93,10/16/2022,17:21:04,0.5152090161577827,1.08121245005115
paleo,Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,26.68,80.75,35.37,10/16/2022,17:21:04,0.3303983851593169,2.2829436544061523
paleo,Spicy Paleo Pumpkin Muffins recipes,british,121.84,413.93,317.39,10/16/2022,17:21:04,0.2943485750040466,1.304164264267103
paleo,Paleo Cauliflower Bacon Fried Rice Recipe,chinese,28.76,50.01,48.09,10/16/2022,17:21:04,0.5750734838335567,1.0399035162504418
paleo,Paleo Beef and Sweet Potato Stew,american,200.82,153.82,102.62,10/16/2022,17:21:04,1.305543456355114,1.498913477748219
paleo,Paleo Comfort Foods’ Poached Pears recipes,french,9.82,214.27,3.04,10/16/2022,17:21:04,0.045829813647203774,70.46037487668531
paleo,Madras Chicken Salad recipes,mediterranean,150.18,41.36,123.75,10/16/2022,17:21:04,3.6309566983390154,0.33421952145841244
paleo,Slow Cooker Cheater Pork Stew recipes,french,244.29,69.44,249.9,10/16/2022,17:21:04,3.517950490344321,0.2778700365344676
paleo,Strawberry Rhubarb Crisp - and it's paleo. recipes,american,32.24,250.87,139.25,10/16/2022,17:21:04,0.12851226327475077,1.8015669546358732
paleo,Paleo Pasta Salad with Avocado Oil Vinaigrette,french,31.23,74.97,116.67,10/16/2022,17:21:04,0.4165610702805084,0.6425761328864927
paleo,The Paleo Diet’s Salmon Caesar Salad Recipe,nordic,155.95,49.31,150.25,10/16/2022,17:21:04,3.1625803573239235,0.32818417181915593
paleo,"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",italian,32.32,157.39,194.11,10/16/2022,17:21:11,0.20534846338100654,0.8108247343015077
paleo,Southwest Cowboy Chili From 'Nom Nom Paleo',american,430.2,138.37,178.17,10/16/2022,17:21:11,3.109032962109112,0.776613478063209
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,1273.61,83.34,1608.54,10/16/2022,17:21:11,15.281914063906118,0.051810926796395
paleo,Paleo Doritos Toast Will Scratch Your Snack Itch,american,32.75,22.67,2.45,10/16/2022,17:21:11,1.444576772087689,9.249286005711955
paleo,"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",american,36.0,142.79,107.74,10/16/2022,17:21:11,0.2521167300460113,1.3253079143501545
paleo,Paleo Spaghetti Squash and Amped Up Meatballs,italian,128.33,154.22,125.77,10/16/2022,17:21:11,0.8321175456001453,1.2261968180264131
paleo,Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,nordic,65.78,96.23,130.86,10/16/2022,17:21:11,0.6835635086406667,0.7353604205989561
paleo,The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes,french,152.56,53.59,205.36,10/16/2022,17:21:11,2.846746655221959,0.26095509858249616
paleo,Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes,american,283.7,78.55,252.1,10/16/2022,17:21:11,3.611666305966824,0.3115814693317361
paleo,Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,6.45,66.8,42.58,10/16/2022,17:21:11,0.09655544078681456,1.5687748056644983
paleo,Orange Sriracha Chicken recipes,south east asian,104.17,82.97,64.82,10/16/2022,17:21:11,1.2554989092574513,1.2799864241526666
paleo,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,american,12.77,112.92,56.84,10/16/2022,17:21:11,0.11308791101743695,1.9865941837757957
paleo,Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes,american,73.83,185.59,307.46,10/16/2022,17:21:11,0.3978102386430376,0.6036212722914452
paleo,"Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes",american,197.91,312.15,371.5,10/16/2022,17:21:11,0.6340200736182169,0.8402399993539721
paleo,Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,102.47,51.64,54.82,10/16/2022,17:21:11,1.98427605971999,0.9419747906824028
paleo,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,14.26,79.07,109.53,10/16/2022,17:21:11,0.18034424757496428,0.7218960842136015
paleo,Dill Butternut Squash Fries,american,7.68,89.2,14.38,10/16/2022,17:21:11,0.086097689487786,6.202628468117656
paleo,Crispy Sweet Potato Fries,south american,4.4,56.19,28.84,10/16/2022,17:21:18,0.07830435478991299,1.9482680905655143
paleo,Rosemary and Garlic Parsnip Mash,american,3.34,48.53,13.6,10/16/2022,17:21:18,0.06882199006820383,3.5681199911771198
paleo,Four Layer Beef and Bacon Casserole,american,213.63,149.66,298.56,10/16/2022,17:21:18,1.4274259827209492,0.501271097028748
paleo,Boston Baked Beef,american,135.99,193.85,232.95,10/16/2022,17:21:18,0.7015181763313061,0.8321492502715163
paleo,Nutella Brownie Truffles,french,12.21,151.95,98.75,10/16/2022,17:21:18,0.08035485123493759,1.5387185952547313
paleo,Best Ever Bars,american,62.76,194.9,266.67,10/16/2022,17:21:18,0.3220096356611818,0.7308631234742435
paleo,Salmon Cakes,nordic,86.31,11.17,66.45,10/16/2022,17:21:18,7.726255482946916,0.16809378338926426
paleo,Crockpot Italian Chicken and Peppers,italian,86.07,84.94,43.04,10/16/2022,17:21:18,1.0132915788606207,1.9734671592202784
paleo,Herbed Rack of Lamb,middle eastern,35.36,6.76,133.82,10/16/2022,17:21:18,5.22999556278657,0.05051524050784256
paleo,Moroccan Braised Chicken and Kale,middle eastern,283.65,89.99,306.29,10/16/2022,17:21:18,3.151981864853152,0.2938055639898005
paleo,Roasted Tomato Soup,italian,39.32,88.7,50.97,10/16/2022,17:21:18,0.44328699789179377,1.7402052147299447
paleo,Sweet Plantain Guacamole,south american,19.18,134.0,138.71,10/16/2022,17:21:18,0.14313326019955075,0.9660373005745758
paleo,Turkey Spaghetti Zoodles,american,122.69,96.81,51.15,10/16/2022,17:21:18,1.2673146646558757,1.892631620105179
paleo,Celery Leaf & Fennel Poached Salmon,nordic,32.41,17.25,24.49,10/16/2022,17:21:18,1.8787316677294066,0.7043403699318117
paleo,Turkey Veggie Meatballs With Spaghetti Squash,american,122.78,147.94,51.84,10/16/2022,17:21:24,0.8299254432510257,2.8537258154742386
paleo,Asian Sesame Chicken & Broccoli,chinese,107.67,31.95,70.25,10/16/2022,17:21:24,3.3698475791055054,0.454797796472648
paleo,Cauliflower Fried Rice,chinese,46.62,82.76,53.47,10/16/2022,17:21:24,0.5633088048718599,1.5477548577733726
paleo,Khoresht Lubia Sabz (Persian Green Bean Stew),american,121.29,69.51,49.55,10/16/2022,17:21:24,1.744903684308958,1.4027971181207244
paleo,Cinnamon Chocolate Swirl Banana Bread,american,68.73,266.84,183.04,10/16/2022,17:21:24,0.2575691141915973,1.4578154621095818
paleo,Easy Pan Gravy,british,0.32,6.54,11.65,10/16/2022,17:21:24,0.04892218315242317,0.5613252081366407
paleo,Salsa Fresca estilo Siete,mexican,4.94,33.55,1.11,10/16/2022,17:21:24,0.14723853238353554,30.198019801980195
paleo,Ginger Snap Pumpkin Butter Cookie Sandwiches,american,97.78,239.78,356.65,10/16/2022,17:21:24,0.4077887739228713,0.6723099052014435
paleo,Cauliflower Soup Drizzled with White Truffle Oil,french,41.9,64.07,37.95,10/16/2022,17:21:24,0.6539620108941643,1.6882295591684011
paleo,Apple Pumpkin Soup,american,9.95,64.53,19.56,10/16/2022,17:21:24,0.1541894593296245,3.29891109861459
paleo,Easy Vegan Pad Thai Supreme,american,97.94,217.78,168.32,10/16/2022,17:21:24,0.4497178358075314,1.2938373702627717
paleo,Beef Chorizo con Huevo estilo Siete,mediterranean,133.92,12.88,92.88,10/16/2022,17:21:24,10.396708330098594,0.13867206425426085
paleo,Angel Food Cake,american,55.09,283.94,5.02,10/16/2022,17:21:24,0.19401918004092403,56.55048795060745
paleo,Asian Chicken Salad,asian,69.61,44.66,128.44,10/16/2022,17:21:24,1.5586305725353218,0.34770828629487466
paleo,Roasted Beef Tenderloin,american,349.89,10.57,130.34,10/16/2022,17:21:24,33.099044555860374,0.08109497395293883
paleo,"Kale, Artichoke and Pecorino Salad",mediterranean,36.98,40.42,58.68,10/16/2022,17:21:24,0.9148709829049256,0.6888089841686407
paleo,Spicy Thai Peanut Kelp Noodle Pad Thai,south east asian,92.67,357.52,68.86,10/16/2022,17:21:24,0.2592015573910344,5.191908337084851
paleo,Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,191.06,25.06,137.85,10/16/2022,17:21:24,7.623797933043374,0.18179048392829938
paleo,Artichoke Francaise,mediterranean,35.81,127.03,62.87,10/16/2022,17:21:31,0.2818996937755351,2.0204863927725025
paleo,Braised Short Rib Bolognese,italian,242.69,59.62,607.18,10/16/2022,17:21:31,4.070545613122893,0.09819147832359709
paleo,Maialino's Olive Oil Cake (Adapted by Becca Fox),american,72.45,479.49,468.3,10/16/2022,17:21:31,0.15109772654752646,1.0238927527380894
paleo,Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,118.65,300.0,107.45,10/16/2022,17:21:31,0.39549868167106117,2.7919702934360777
paleo,Boneless Short Ribs on the BGE,french,392.64,12.51,472.92,10/16/2022,17:21:31,31.383582447446248,0.02645262105087319
paleo,Ribollita,italian,66.67,180.22,111.67,10/16/2022,17:21:31,0.36993469129568696,1.6138478208308333
paleo,Pear and Apple Coffeecake with Walnut Topping,british,68.86,309.13,384.74,10/16/2022,17:21:31,0.22275346050703426,0.8034755848739802
paleo,Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,22.61,68.6,103.89,10/16/2022,17:21:31,0.329587032259005,0.6603074376028721
paleo,Indian Spiced Broccoli and Potato Hash,nordic,9.39,47.36,10.47,10/16/2022,17:21:31,0.19826439475517835,4.522968197879859
paleo,Vegan Dark Chocolate Coconut Tart,american,32.24,221.1,103.54,10/16/2022,17:21:31,0.145815713180854,2.1353859823644736
paleo,Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,145.56,240.17,89.14,10/16/2022,17:21:31,0.6060681764242977,2.6942708742329566
paleo,Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,5.6,46.5,18.34,10/16/2022,17:21:31,0.12042751768779165,2.535303418570416
paleo,Slow-Cooker 'Osso Buco' Stew,italian,211.11,94.79,61.46,10/16/2022,17:21:31,2.2271101686869006,1.5422788434942485
paleo,Vegan Coconut Cream Tart with White Peaches and Blueberries,american,39.45,285.88,109.49,10/16/2022,17:21:31,0.1379944802207912,2.6109908576960663
paleo,Spiced Harvest Cake,british,65.92,455.58,158.29,10/16/2022,17:21:31,0.1446943573151646,2.8781168859884643
paleo,Paleo MeeNut™ Butter Sandwich on Paleo Bread™,american,0.93,3.08,24.31,10/16/2022,17:21:38,0.30185004868549176,0.12669162107687879
paleo,Low Carb Paleo Egg Wrap Recipe,american,16.71,28.5,15.85,10/16/2022,17:21:38,0.5862952177116593,1.7979938174247683
paleo,Paleo Nutella Banana Ice Cream,american,7.86,186.18,30.1,10/16/2022,17:21:38,0.042216982398848434,6.185176572206903
paleo,Paleo Whole30 Pesto Chicken Salad,american,176.97,10.7,206.48,10/16/2022,17:21:38,16.53770675637791,0.05182074864031073
paleo,The Elvis Paleo Sandwich Recipe,american,18.72,68.14,54.08,10/16/2022,17:21:38,0.2747244683817378,1.2599619089883694
paleo,Simple Paleo Reese’s Cups,american,69.56,157.94,257.36,10/16/2022,17:21:38,0.44041762430274595,0.6136904970061509
paleo,Paleo Meatloaf recipes,american,216.95,203.73,178.18,10/16/2022,17:21:38,1.0648845781937948,1.1433879033118008
paleo,Paleo Nacho Casserole,mexican,156.83,88.03,167.6,10/16/2022,17:21:38,1.7815315059467687,0.525235529620945
paleo,Simple Paleo Coleslaw Dressing,mediterranean,6.76,17.01,89.82,10/16/2022,17:21:38,0.3973899241667156,0.18937664911323634
paleo,Paleo Bread Stuffing recipes,american,54.96,208.13,49.2,10/16/2022,17:21:44,0.2640644594029722,4.230198573199732
paleo,Paleo deviled egg recipe,french,32.74,3.08,69.22,10/16/2022,17:21:44,10.626419993508602,0.044495167651435255
paleo,Paleo Peppermint Bark,american,30.23,191.35,235.63,10/16/2022,17:21:44,0.1579819284978913,0.8120748118880792
paleo,Paleo Chipotle Dipping Sauce,mexican,2.14,15.79,116.27,10/16/2022,17:21:44,0.1355202330441391,0.13580342475767818
paleo,Paleo Wrap Carne Asada Recipe,mexican,159.24,75.82,62.53,10/16/2022,17:21:44,2.100209704435447,1.2125185907789735
paleo,Homemade Paleo Protein Bars,american,368.04,500.49,210.84,10/16/2022,17:21:44,0.735357878563251,2.3737792934011885
paleo,Paleo Tzatziki,mediterranean,2.82,17.07,13.93,10/16/2022,17:21:44,0.16519243160916172,1.2253248151604337
paleo,Paleo Pecan Pie Bars recipes,american,105.25,594.23,700.42,10/16/2022,17:21:44,0.17711967231598486,0.8483897541621397
paleo,Loaded Paleo Cauliflower Nachos recipes,mexican,52.93,75.7,131.7,10/16/2022,17:21:44,0.6991981611867742,0.5747868277385897
paleo,Gluten-Free Paleo Meatloaf recipes,eastern europe,170.21,136.35,196.93,10/16/2022,17:21:44,1.2483223445372604,0.6923744864952699
paleo,Paleo Broccoli Salad recipes,american,22.75,124.99,146.91,10/16/2022,17:21:44,0.18201310494355594,0.8507872113048035
paleo,Healthy Paleo Marble Cake recipes,american,42.18,245.32,90.32,10/16/2022,17:21:44,0.17193799144793964,2.71609038872466
paleo,Paleo Deviled Eggs recipes,french,87.75,10.06,163.03,10/16/2022,17:21:51,8.721797038067786,0.06170605590347848
paleo,Paleo Meatball Sub,american,57.04,62.66,77.65,10/16/2022,17:21:51,0.910295079874244,0.8069438899692211
paleo,Paleo Egg Salad recipes,american,35.77,30.22,88.57,10/16/2022,17:21:51,1.183614043214983,0.3411951993316097
paleo,"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,3.28,32.7,15.37,10/16/2022,17:21:51,0.10030274303538117,2.127382733719342
paleo,Smoky Paleo Deviled Eggs recipes,french,34.1,8.47,69.53,10/16/2022,17:21:51,4.025498760476921,0.12181616832779624
paleo,Paleo Barbecue Beef and Bacon recipes,american,114.04,148.84,128.75,10/16/2022,17:21:51,0.7661867361815629,1.1560298560787878
paleo,Paleo Pad Thai with Zucchini Noodles,south east asian,3.5,40.81,0.36,10/16/2022,17:21:51,0.08576119183553453,113.04709141274239
paleo,Paleo Sunbutter Cups recipes,french,0.1,32.29,27.63,10/16/2022,17:21:51,0.003096838128271036,1.1686149614563353
paleo,Paleo Quiche Cups,french,59.38,43.71,82.41,10/16/2022,17:21:51,1.3584681201528221,0.5303903605101261
paleo,Paleo Pecan Pie,american,41.28,497.12,285.89,10/16/2022,17:21:51,0.083038133573114,1.7388445246614972
paleo,Paleo Smoked Tuna Salad recipes,american,24.83,19.77,90.32,10/16/2022,17:21:51,1.2558798239846238,0.2188859733616767
paleo,Paleo Lemon Mousse,french,17.82,77.84,84.12,10/16/2022,17:21:58,0.22892819979188345,0.9253337454381189
paleo,Paleo Aioli Salad Dressing,mediterranean,0.53,2.32,44.57,10/16/2022,17:21:58,0.2283498492029298,0.052051782549191176
paleo,Paleo Flourless Chocolate Cake recipes,american,80.48,404.46,410.21,10/16/2022,17:21:58,0.19898086589312694,0.9859803857039426
